,REF_DATE,GEO,Gender,Indicators,Statistics,VALUE
21,2021-07,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.2
22,2021-10,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.1
23,2022-01,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.7
24,2022-04,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.4
25,2022-07,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.4
26,2022-10,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.8
27,2023-04,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.4
28,2023-07,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.6
29,2023-10,Canada (excluding territories),"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.6
30,2021-04,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,24.1
31,2021-07,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.9
32,2021-10,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.6
33,2022-01,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.2
34,2022-04,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.6
35,2022-07,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,16.9
36,2022-10,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.7
37,2023-04,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.0
38,2023-07,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.0
39,2023-10,Canada (excluding territories),Men,Life satisfaction rating between 0 and 5,Percentage of persons,25.1
40,2021-04,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,31.4
41,2021-07,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.4
42,2021-10,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.3
43,2022-01,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.2
44,2022-04,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.2
45,2022-07,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.7
46,2022-10,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.2
47,2023-04,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.3
48,2023-07,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.1
49,2023-10,Canada (excluding territories),Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.6
50,2021-04,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.5
51,2021-07,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.7
52,2021-10,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.0
53,2022-01,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.6
54,2022-04,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.2
55,2022-07,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.5
56,2022-10,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.1
57,2023-04,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.7
58,2023-07,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.9
59,2023-10,Canada (excluding territories),Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.3
60,2021-04,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,30.6
61,2021-07,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.7
62,2021-10,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.8
63,2022-01,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.5
64,2022-04,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.7
65,2022-07,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.4
66,2022-10,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,25.0
67,2023-04,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.2
68,2023-07,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.6
69,2023-10,Canada (excluding territories),Women,Life satisfaction rating between 0 and 5,Percentage of persons,23.2
70,2021-04,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.9
71,2021-07,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.7
72,2021-10,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.1
73,2022-01,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.6
74,2022-04,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.8
75,2022-07,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.3
76,2022-10,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.6
77,2023-04,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.7
78,2023-07,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.1
79,2023-10,Canada (excluding territories),Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.9
80,2021-04,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,39.5
81,2021-07,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.6
82,2021-10,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.2
83,2022-01,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.8
84,2022-04,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.5
85,2022-07,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.2
86,2022-10,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,44.5
87,2023-04,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.1
88,2023-07,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.3
89,2023-10,Canada (excluding territories),Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.9
90,2021-04,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,20.4
91,2021-07,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.6
92,2021-10,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.9
93,2022-01,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,17.9
94,2022-04,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.2
95,2022-07,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.1
96,2022-10,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.5
97,2023-04,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.5
98,2023-07,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,21.3
99,2023-10,Atlantic Region,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,23.3
100,2021-04,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.6
101,2021-07,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.2
102,2021-10,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.2
103,2022-01,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.8
104,2022-04,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.7
105,2022-07,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,23.5
106,2022-10,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,29.6
107,2023-04,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.7
108,2023-07,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.6
109,2023-10,Atlantic Region,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.5
110,2021-04,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.0
111,2021-07,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.2
112,2021-10,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.9
113,2022-01,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.3
114,2022-04,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.1
115,2022-07,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.5
116,2022-10,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.9
117,2023-04,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.9
118,2023-07,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.1
119,2023-10,Atlantic Region,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.2
120,2021-04,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.3
121,2021-07,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.7
122,2021-10,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.7
123,2022-01,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.6
124,2022-04,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.4
125,2022-07,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.1
126,2022-10,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,23.6
127,2023-04,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.8
128,2023-07,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,20.7
129,2023-10,Atlantic Region,Men,Life satisfaction rating between 0 and 5,Percentage of persons,25.1
130,2021-04,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,30.0
131,2021-07,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.6
132,2021-10,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.9
133,2022-01,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,25.6
134,2022-04,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,26.6
135,2022-07,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.7
136,2022-10,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.2
137,2023-04,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.3
138,2023-07,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.5
139,2023-10,Atlantic Region,Men,Life satisfaction rating of 6 or 7,Percentage of persons,29.2
140,2021-04,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.7
141,2021-07,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.7
142,2021-10,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.5
143,2022-01,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.8
144,2022-04,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.0
145,2022-07,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.2
146,2022-10,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.2
147,2023-04,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.9
148,2023-07,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.8
149,2023-10,Atlantic Region,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,45.7
150,2021-04,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.4
151,2021-07,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.4
152,2021-10,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,20.1
153,2022-01,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.2
154,2022-04,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.0
155,2022-07,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,18.1
156,2022-10,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.4
157,2023-04,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,19.1
158,2023-07,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.9
159,2023-10,Atlantic Region,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.5
160,2021-04,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.3
161,2021-07,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,24.8
162,2021-10,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,24.6
163,2022-01,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.9
164,2022-04,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,26.8
165,2022-07,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,22.2
166,2022-10,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,31.9
167,2023-04,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,29.1
168,2023-07,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,28.8
169,2023-10,Atlantic Region,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.9
170,2021-04,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.3
171,2021-07,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.8
172,2021-10,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.3
173,2022-01,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.8
174,2022-04,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.2
175,2022-07,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.6
176,2022-10,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.7
177,2023-04,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,51.8
178,2023-07,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.3
179,2023-10,Atlantic Region,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,52.7
180,2021-04,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.3
181,2021-07,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.8
182,2021-10,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.7
183,2022-01,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,13.2
184,2022-04,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,15.5
185,2022-07,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,18.3
186,2022-10,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.8
187,2023-04,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,16.6
188,2023-07,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,19.6
189,2023-10,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating between 0 and 5,Percentage of persons,24.0
190,2021-04,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,30.6
191,2021-07,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,22.5
192,2021-10,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,24.2
193,2022-01,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.0
194,2022-04,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,26.0
195,2022-07,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,27.6
196,2022-10,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,28.0
197,2023-04,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,23.9
198,2023-07,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.6
199,2023-10,Newfoundland and Labrador,"Total, all persons",Life satisfaction rating of 6 or 7,Percentage of persons,25.5
200,2021-04,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,53.1
201,2021-07,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,60.7
202,2021-10,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.1
203,2022-01,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.7
204,2022-04,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.4
205,2022-07,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.1
206,2022-10,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,55.2
207,2023-04,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.5
208,2023-07,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.8
209,2023-10,Newfoundland and Labrador,"Total, all persons","Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.5
210,2021-04,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.9
211,2021-07,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.0
212,2021-10,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,15.8
213,2022-01,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,14.3
214,2022-04,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.1
215,2022-07,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,22.0
216,2022-10,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,18.7
217,2023-04,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,19.1
218,2023-07,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,17.8
219,2023-10,Newfoundland and Labrador,Men,Life satisfaction rating between 0 and 5,Percentage of persons,21.6
220,2021-04,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,34.2
221,2021-07,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,23.3
222,2021-10,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,22.9
223,2022-01,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,19.7
224,2022-04,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,24.9
225,2022-07,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.6
226,2022-10,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,33.2
227,2023-04,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,23.0
228,2023-07,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,27.9
229,2023-10,Newfoundland and Labrador,Men,Life satisfaction rating of 6 or 7,Percentage of persons,28.5
230,2021-04,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,47.9
231,2021-07,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.7
232,2021-10,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.3
233,2022-01,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,66.0
234,2022-04,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.0
235,2022-07,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,50.4
236,2022-10,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,48.2
237,2023-04,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.9
238,2023-07,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,54.3
239,2023-10,Newfoundland and Labrador,Men,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,49.9
240,2021-04,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,14.7
241,2021-07,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,16.6
242,2021-10,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,17.5
243,2022-01,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,12.2
244,2022-04,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,13.1
245,2022-07,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,14.7
246,2022-10,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,15.0
247,2023-04,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,14.1
248,2023-07,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,21.3
249,2023-10,Newfoundland and Labrador,Women,Life satisfaction rating between 0 and 5,Percentage of persons,26.5
250,2021-04,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.0
251,2021-07,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,21.8
252,2021-10,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,25.6
253,2022-01,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,30.2
254,2022-04,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.1
255,2022-07,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,27.7
256,2022-10,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.0
257,2023-04,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,24.8
258,2023-07,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,23.3
259,2023-10,Newfoundland and Labrador,Women,Life satisfaction rating of 6 or 7,Percentage of persons,22.4
260,2021-04,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,58.2
261,2021-07,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.6
262,2021-10,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,56.9
263,2022-01,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.6
264,2022-04,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,59.8
265,2022-07,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,57.6
266,2022-10,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.9
267,2023-04,Newfoundland and Labrador,Women,"Life satisfaction rating of 8, 9 or 10",Percentage of persons,61.1
